term_1,term_2,co_occurrences,freq_term_1,freq_term_2,npmi
pulverizer,crush,10,17,531,0.5119
erosion,weather,2,99,8,0.5119
tissue,scrap,2,18,44,0.5119
law,sit,2,66,12,0.5119
brush,climb,2,88,9,0.5119
promoter,believe,2,33,24,0.5119
holiday,impact,2,33,24,0.5119
light,backscatter,4,452,5,0.5119
simulator,simulate,2,13,61,0.5118
polishing,grind,4,31,73,0.5117
electrolyzer,electrolyze,26,86,446,0.5117
report,speed,2,53,15,0.5116
photoreactor,save,3,9,163,0.5116
hydrometer,embed,3,4,367,0.5115
die,mold,4,12,189,0.5115
dimethyl,modify,2,4,199,0.5114
paddle,rectify,5,43,74,0.5114
suspension,oxidise,2,199,4,0.5114
foaming,foam,3,21,70,0.5114
spacer,delimit,3,92,16,0.5113
voyage,mitigate,3,16,92,0.5113
survey,conduct,16,79,234,0.5112
silo,sort,2,21,38,0.5112
mold,knead,5,145,22,0.5111
caulking,excavate,3,11,134,0.5111
string,unfold,2,47,17,0.5111
hydrolyzate,inhibit,2,2,400,0.511
sound,bark,2,400,2,0.511
cctv,shrink,2,25,32,0.511
hydroxypropanesulfonic,inhibit,2,2,400,0.511
butadiene,inhibit,2,2,400,0.511
methacryloxy,inhibit,2,2,400,0.511
antifoulant,match,2,4,200,0.511
kitchen,choose,4,57,40,0.511
conjunction,on,2,100,8,0.511
disc,bounce,2,160,5,0.511
polymethacrylic,inhibit,2,2,400,0.511
pma,inhibit,2,2,400,0.511
chelant,inhibit,2,2,400,0.511
hydroxyphosphonoacetic,inhibit,2,2,400,0.511
accelerator,halogenate,2,50,16,0.511
response,backscatter,4,456,5,0.511
baffle,articulate,2,160,5,0.511
methacrylamide,inhibit,2,2,400,0.511
acryloxy,inhibit,2,2,400,0.511
hydroxypropane,inhibit,2,2,400,0.511
methylpropanesulfonic,inhibit,2,2,400,0.511
isobutylene,inhibit,2,2,400,0.511
aspect,aspect,4,571,4,0.5108
wood,decolorize,3,87,17,0.5108
solubilization,hydrolyze,3,51,29,0.5108
tp,inhabit,3,29,51,0.5108
aqueous,inhibit,5,8,400,0.5108
graph,retrieve,4,127,18,0.5107
projection,unlock,3,185,8,0.5107
titanium,bake,2,73,11,0.5106
density,impress,5,401,8,0.5106
cistern,situate,3,38,39,0.5106
register,register,2,11,73,0.5106
surfactant,degrease,2,73,11,0.5106
spore,belong,2,11,73,0.5106
buoyancy,board,2,402,2,0.5105
buoyancy,arrest,2,402,2,0.5105
sandbox,recover,2,2,402,0.5105
asphalt,dig,9,69,113,0.5105
moon,excavate,2,6,134,0.5105
tarpaulin,excavate,2,6,134,0.5105
relief,anticipate,4,191,12,0.5105
fumarole,eject,2,5,161,0.5104
nitrobacter,denitrify,3,15,99,0.5104
help,throw,2,23,35,0.5104
electrodialyzer,recycle,2,2,403,0.5103
flp,recycle,2,2,403,0.5103
sub,group,4,153,15,0.5103
polyamide,range,2,26,31,0.5103
materiala,come,2,2,403,0.5103
culprit,put,2,3,269,0.5102
color,color,6,157,27,0.5102
npx,put,2,3,269,0.5102
sac,put,2,3,269,0.5102
thread,screw,16,147,127,0.5101
alarm,text,2,404,2,0.5101
dehumidification,powder,3,21,71,0.51
disconnection,cushion,2,54,15,0.5098
gui,display,3,3,498,0.5098
eq,house,3,13,115,0.5098
server,text,2,405,2,0.5098
server,authenticate,2,405,2,0.5098
pill,reciprocate,3,13,115,0.5098
eq,distribute,9,13,604,0.5098
map,display,54,236,498,0.5097
fe,granulate,7,112,48,0.5097
inventor,find,35,176,347,0.5097
trench,cap,2,116,7,0.5096
contractor,inputte,3,10,150,0.5095
vis,confirm,3,5,300,0.5095
ua,inputte,3,10,150,0.5095
waterworks,aim,5,47,69,0.5095
allocation,inputte,3,10,150,0.5095
fighting,hinder,2,11,74,0.5094
garden,channel,2,37,22,0.5094
excitation,homogenize,2,37,22,0.5094
company,own,3,79,19,0.5094
integer,state,2,37,22,0.5094
yard,load,5,14,232,0.5093
ball,board,2,408,2,0.5092
resonator,overcome,2,8,102,0.5092
checking,check,19,44,554,0.5092
locating,run,2,4,204,0.5092
ball,reassume,2,408,2,0.5092
ventilator,ventilate,2,24,34,0.5092
enlargement,photograph,2,12,68,0.5092
spot,converge,2,48,17,0.5092
subsystem,crosslinke,2,48,17,0.5092
bolting,bear,2,12,68,0.5092
transmitter,reopen,5,155,21,0.5091
conjugation,contaminate,4,4,581,0.5091
dilution,dialyze,3,251,6,0.5091
skin,cleanse,2,43,19,0.509
desertification,promote,7,12,451,0.509
vegetation,plant,13,179,77,0.5089
sol,react,7,18,301,0.5089
flotation,focculate,3,503,3,0.5089
and瀑気tower,incline,2,2,409,0.5089
rockfall,incline,2,2,409,0.5089
dripping,impregnate,2,9,91,0.5088
combustor,extinguish,2,13,63,0.5088
needle,endure,2,117,7,0.5088
amalgam,stand,2,7,117,0.5088
entrance,pad,2,117,7,0.5088
overpressure,damp,2,39,21,0.5088
watering,expire,2,63,13,0.5088
assimilation,nitrify,2,7,117,0.5088
thiobacilli,nitrify,2,7,117,0.5088
decontamination,reclaim,4,53,44,0.5088
feldspar,impart,2,21,39,0.5088
no,deaerate,2,82,10,0.5087
mmφ,mold,3,8,189,0.5087
tester,propel,3,36,42,0.5087
reservation,execute,2,4,205,0.5087
abs,mold,3,8,189,0.5087
renewal,bury,48,82,1209,0.5087
hydrant,fight,2,82,10,0.5087
magnesium,liberate,2,82,10,0.5087
core,cap,3,216,7,0.5087
estimator,estimate,8,10,665,0.5085
reducer,gear,2,137,6,0.5085
diagram,explain,33,381,148,0.5085
zone,resort,3,505,3,0.5085
ice,scoop,4,156,15,0.5084
transient,localize,4,52,45,0.5084
release,hear,4,260,9,0.5084
node,retrieve,4,130,18,0.5084
ingestion,nitrify,4,20,117,0.5084
soundness,manage,6,13,332,0.5084
research,reveal,3,66,23,0.5083
cheongcheon,plan,3,11,138,0.5083
cohesiveness,enhance,3,11,138,0.5083
occupant,trigger,6,30,144,0.5083
smoke,burn,3,23,66,0.5083
otbn,observe,3,7,217,0.5082
coagulant,coagulate,28,387,114,0.5082
permission,read,2,5,165,0.5081
mushroom,collide,2,7,118,0.508
allowance,hinge,2,14,59,0.508
fragment,amplify,2,14,59,0.508
mind,collide,2,7,118,0.508
icing,collide,2,7,118,0.508
repose,secure,4,5,470,0.508
compound,antiscale,3,508,3,0.5079
dehydration,dehydrate,41,332,237,0.5078
mirror,orient,2,23,36,0.5078
mee,mitigate,2,9,92,0.5078
rtc,realize,2,6,138,0.5078
precast,cure,3,8,191,0.5077
photocatalyst,inactivate,3,102,15,0.5076
log,deal,3,34,45,0.5076
plankton,inhabit,3,30,51,0.5076
broadcasting,look,2,5,166,0.5076
repository,expect,2,3,277,0.5075
shearing,split,2,26,32,0.5074
upflow,denitrate,3,73,21,0.5074
liner,fold,12,177,70,0.5074
longevity,eliminate,2,2,416,0.5074
sprocket,balance,2,26,32,0.5074
wqv,travel,2,8,104,0.5074
diamond,view,2,16,52,0.5074
fungus,bulk,2,52,16,0.5074
lobe,empty,2,8,104,0.5074
intersection,converge,2,49,17,0.5073
flash,flash,4,103,23,0.5072
backwash,backwashe,33,479,119,0.5072
geotube,construct,4,5,474,0.5072
coal,insolubilize,3,81,19,0.507
sector,associate,18,31,739,0.507
geotube,dry,4,5,475,0.507
nitrate,denitrify,25,380,99,0.5069
remediation,rinse,4,24,99,0.5069
activator,inoculate,2,44,19,0.5069
dosing,strike,2,44,19,0.5069
mountainside,characterise,2,3,279,0.5068
bud,characterise,2,3,279,0.5068
character,display,10,19,498,0.5068
dataset,acquire,2,2,419,0.5067
hyperparameter,acquire,2,2,419,0.5067
testing,test,6,77,57,0.5066
molding,sinter,6,133,33,0.5066
embedment,correct,2,3,280,0.5065
incineration,pelletize,2,120,7,0.5065
dryer,pelletize,2,120,7,0.5065
epdm,press,4,5,477,0.5065
hammer,hammer,2,168,5,0.5065
record,localize,4,53,45,0.5065
hpa,appear,2,8,105,0.5065
excess,disintegrate,2,60,14,0.5065
fragment,disconnect,2,14,60,0.5065
breathing,propel,2,20,42,0.5065
dog,fail,2,12,70,0.5065
tea,soak,2,29,29,0.5064
vapor,desublimate,3,387,4,0.5064
coagulant,acclimatize,3,387,4,0.5064
bulge,inhibit,6,11,400,0.5064
pathogenicity,keep,4,4,597,0.5064
creature,live,3,9,172,0.5064
series,segment,4,398,6,0.5064
pt,interpose,5,17,197,0.5062
hei,fluidize,2,3,281,0.5062
touch,touch,3,42,37,0.5061
equation,generalize,2,211,4,0.506
quantum,protect,3,5,311,0.506
juncture,join,2,4,211,0.506
storer,join,2,4,211,0.506
bud,direct,2,3,282,0.5058
dispenser,dispense,6,56,79,0.5058
discharging,shake,2,18,47,0.5058
interest,georeference,2,47,18,0.5058
hygiene,preserve,3,41,38,0.5058
transform,notify,4,13,185,0.5057
personnel,deploy,3,40,39,0.5057
trend,foul,20,128,212,0.5057
slug,pull,3,6,260,0.5057
inclusion,coalesce,2,77,11,0.5057
chain,refract,4,219,11,0.5056
criticality,foul,2,4,212,0.5056
stopwatch,foul,2,4,212,0.5056
mess,foul,2,4,212,0.5056
grid,emboss,2,106,8,0.5056
tailing,narrow,2,8,106,0.5056
integer,irradiate,8,37,185,0.5055
swelling,gel,2,85,10,0.5054
bath,sonicate,2,170,5,0.5054
packer,unfold,4,142,17,0.5054
washer,unfold,2,50,17,0.5054
al,hydrate,3,58,27,0.5053
probe,empty,13,137,104,0.5052
branch,branch,87,791,315,0.5052
moeum,give,2,2,426,0.5052
flora,destroy,2,6,142,0.5052
ladder,assemble,10,27,356,0.5051
dolomite,put,4,9,269,0.5051
phase,perturb,3,523,3,0.5051
pulsator,reverse,4,14,173,0.505
execution,synchronize,2,61,14,0.505
administrator,ignore,5,113,30,0.505
poc,follow,5,5,678,0.505
percolation,regenerate,4,7,346,0.505
bm,follow,5,5,678,0.505
org,follow,5,5,678,0.505
precipitant,weave,2,14,61,0.505
industrialization,simulate,2,14,61,0.505
beam,weight,5,154,22,0.505
pedal,branch,3,5,315,0.5048
interpolation,smooth,2,15,57,0.5048
septic,mass,2,285,3,0.5048
pulley,scrape,2,45,19,0.5048
conversion,whiten,2,214,4,0.5047
knife,advance,2,8,107,0.5047
scrap,incorporate,2,8,107,0.5047
crushing,emboss,2,107,8,0.5047
interior,ream,3,394,4,0.5047
table,tabulate,2,428,2,0.5047
table,text,2,428,2,0.5047
sandbox,accommodate,2,2,428,0.5047
sewerage,unlock,2,107,8,0.5047
packaging,mold,5,18,189,0.5046
hm,emit,3,6,263,0.5046
anatase,emit,3,6,263,0.5046
sila,divide,5,5,681,0.5045
frost,cooperate,2,33,26,0.5045
tsila,divide,5,5,681,0.5045
fil,divide,5,5,681,0.5045
launch,launch,2,33,26,0.5045
inundation,inundate,2,143,6,0.5045
loop,repressurise,2,143,6,0.5045
exploration,target,2,26,33,0.5045
pawl,restore,2,6,143,0.5045
tsil,divide,5,5,681,0.5045
sil,divide,5,5,681,0.5045
fila,divide,5,5,681,0.5045
spigot,curve,3,31,51,0.5044
ducting,displace,6,65,69,0.5044
transmitter,decide,5,155,22,0.5044
pumice,cultivate,2,20,43,0.5043
substrate,assimilate,2,172,5,0.5043
carp,live,2,5,172,0.5043
goethite,granulate,3,33,48,0.5042
kb,derive,3,5,317,0.5042
humus,culture,3,18,88,0.5042
arrhenius,derive,3,5,317,0.5042
lining,line,13,218,66,0.5041
steam,condense,105,868,384,0.5041
wound,wind,7,25,227,0.5041
account,violate,2,108,8,0.5039
technician,instruct,2,12,72,0.5039
scope,interpret,3,106,15,0.5039
verification,verify,2,36,24,0.5039
depressurization,depressurize,2,24,36,0.5039
calibration,unload,2,72,12,0.5039
expiry,trigger,2,6,144,0.5039
file,depict,2,36,24,0.5039
decompression,formulate,2,72,12,0.5039
receiver,document,2,433,2,0.5037
receiver,oversee,2,433,2,0.5037
nozzle,spray,248,1679,725,0.5036
substitution,curve,2,17,51,0.5036
department,report,4,27,91,0.5036
candidate,belong,6,62,73,0.5035
boom,seat,3,7,228,0.5035
absorber,taper,2,31,28,0.5035
thousand,deform,5,19,181,0.5035
clothing,get,2,7,124,0.5035
algorithm,learn,7,68,84,0.5034
fitting,rout,7,357,16,0.5034
inhaler,shake,3,34,47,0.5034
reversal,harden,7,51,112,0.5034
model,train,18,695,34,0.5034
isomer,inhibit,3,4,400,0.5033
aerator,farm,3,160,10,0.5033
company,sell,2,79,11,0.5033
bacillus,kill,2,10,87,0.5032
hexamethylenediamine,drop,2,2,435,0.5032
stopping,program,2,29,30,0.5032
safety,suwon,2,435,2,0.5032
sandbox,drop,2,2,435,0.5032
constant,initialize,2,87,10,0.5032
claim,accord,1819,3082,7918,0.5032
villager,stay,2,5,174,0.5032
ammonia,istreate,2,435,2,0.5032
composition,premixe,2,290,3,0.5032
inhabitant,stay,2,5,174,0.5032
aquarium,pressurise,2,67,13,0.5031
sea,electrodialyze,2,436,2,0.503
pine,discard,2,8,109,0.503
fluorescence,interact,4,103,24,0.503
strength,popularize,3,535,3,0.503
jig,grind,3,22,73,0.5029
outset,mention,13,19,766,0.5029
pressing,press,19,54,477,0.5028
seabed,warm,2,19,46,0.5028
organism,label,4,177,14,0.5028
driving,oversee,2,437,2,0.5028
ea,recover,3,4,402,0.5028
sar,quantify,4,40,62,0.5027
countermeasure,plan,17,158,138,0.5027
batch,dephosphorize,3,230,7,0.5027
hearing,capture,2,5,175,0.5027
pc,access,3,46,35,0.5027
crystal,disintegrate,3,115,14,0.5027
restrictor,throttle,3,35,46,0.5027
bearing,superpose,2,146,6,0.5026
kneading,grind,2,12,73,0.5026
family,belong,4,34,73,0.5026
scooping,lift,3,3,538,0.5024
mountainside,position,3,3,539,0.5023
siphon,pad,3,231,7,0.5023
antinode,sense,6,6,763,0.5023
latitude,overlap,2,8,110,0.5022
comparison,preset,5,249,14,0.5022
animal,halogenate,2,55,16,0.5022
stirrer,stir,66,295,570,0.5022
bb,step,2,10,88,0.5022
indication,retrieve,3,90,18,0.5021
evaporator,condense,67,448,384,0.5021
charging,damp,2,42,21,0.502
pat,disclose,2,3,294,0.502
mound,spread,2,6,147,0.502
charging,oscillate,2,42,21,0.502
wheel,deactivate,5,194,18,0.502
massage,hit,2,9,98,0.502
diagram,concern,26,381,109,0.502
life,shorten,50,483,230,0.5018
pcri,desire,2,2,442,0.5018
rgb,photograph,2,13,68,0.5018
quantification,photograph,2,13,68,0.5018
recipient,wire,2,17,52,0.5018
fθωspall,desire,2,2,442,0.5018
owner,train,2,26,34,0.5018
similarity,match,6,23,200,0.5018
steam,superheate,15,868,21,0.5017
dowel,reinforce,7,9,645,0.5017
linkage,amplify,2,15,59,0.5017
recovery,recover,88,647,402,0.5016
deck,seat,4,11,228,0.5016
ms,undergo,3,10,163,0.5015
notification,blink,3,181,9,0.5015
concrete,cast,24,627,59,0.5015
bundling,insulate,2,4,222,0.5014
recovery,sand,7,647,9,0.5014
traction,refine,3,48,34,0.5014
flotation,encircle,4,503,5,0.5013
neodymium,screw,2,7,127,0.5012
org,extract,3,5,327,0.5012
bm,extract,3,5,327,0.5012
poc,extract,3,5,327,0.5012
recovery,chelate,55,647,199,0.5012
furnace,reflowe,2,178,5,0.5011
applicant,register,7,80,73,0.5011
subsoil,denitrify,2,9,99,0.501
freeze,supercoole,2,99,9,0.501
acceleration,scavenge,2,99,9,0.501
group,ozoneize,2,446,2,0.5009
demand,spur,2,446,2,0.5009
group,denaturate,2,446,2,0.5009
gargle,electrolyze,2,2,446,0.5009
mee,fluidize,4,9,281,0.5008
titer,replace,3,3,547,0.5008
chitosan,calcine,2,19,47,0.5008
germ,impair,3,31,53,0.5007
desert,promote,7,13,451,0.5007
analysis,own,11,608,19,0.5007
nitrate,nitrify,27,380,117,0.5006
agitator,agitate,11,108,107,0.5006
shell,stamp,2,179,5,0.5006
delivery,strive,2,179,5,0.5006
grout,grout,2,28,32,0.5005
kneader,solidify,3,9,183,0.5005
polyvinyl,extrude,2,14,64,0.5005
annulus,split,2,28,32,0.5005
evaporator,electrodialyze,2,448,2,0.5005
hanging,hang,2,14,64,0.5005
thinning,evaluate,8,46,156,0.5005
depression,split,2,28,32,0.5005
coil,oscillate,6,222,21,0.5004
plan,plan,23,254,138,0.5003
tm,read,3,10,165,0.5003
terminal,text,2,449,2,0.5003
inventory,inputte,3,11,150,0.5003
hydrolysis,solubilize,10,197,51,0.5003
ultrasound,help,3,15,110,0.5003
terminal,board,2,449,2,0.5003
atm,hydrolyze,2,31,29,0.5002
world,intensify,2,29,31,0.5002
approximation,express,2,12,75,0.5001
tourism,melt,2,5,180,0.5001
casing,grout,14,521,32,0.5001
parameter,parametrise,2,450,2,0.5001
aggregation,detour,2,180,5,0.5001
wellshaft,establish,2,6,150,0.5001
oak,melt,2,5,180,0.5001
score,average,2,45,20,0.5001
ore,leach,2,18,50,0.5001
bias,express,2,12,75,0.5001
indication,diminish,2,90,10,0.5001
expiry,inputte,2,6,150,0.5001
forecasting,inputte,2,6,150,0.5001
garage,assemble,5,10,356,0.5001
preprocessing,inputte,2,6,150,0.5001
clay,hydrate,8,267,27,0.5
day,demold,3,552,3,0.5
mention,propose,3,6,276,0.5
dither,promote,2,2,451,0.4999
silicone,prove,2,22,41,0.4999
hundred,automate,2,22,41,0.4999
vitality,promote,2,2,451,0.4999
dispersion,disperse,16,102,200,0.4999
retrieval,load,4,11,232,0.4999
solutioncorrosion,promote,2,2,451,0.4999
exhaust,exhaust,18,348,70,0.4999
noise,echo,2,301,3,0.4998
disassembly,dismantle,2,21,43,0.4998
sputtering,consume,2,3,301,0.4998
noise,band,2,301,3,0.4998
camshaft,define,3,5,332,0.4997
earthquake,depress,2,226,4,0.4997
light,forbid,2,452,2,0.4997
cross,gate,2,452,2,0.4997
ranking,manage,3,5,332,0.4997
night,predefine,3,83,20,0.4997
trend,average,4,128,20,0.4996
polyelectrolyte,charge,2,5,181,0.4996
whistle,propagate,2,5,181,0.4996
decay,thrive,2,181,5,0.4996
band,stamp,2,181,5,0.4996
netron,weld,2,5,181,0.4996
decay,germinate,2,181,5,0.4996
neuralgia,eliminate,3,4,416,0.4995
curtain,sandwich,3,32,52,0.4995
dragging,retain,2,3,302,0.4995
arthritis,eliminate,3,4,416,0.4995
esp,isolate,2,6,151,0.4995
xy,assume,2,6,151,0.4995
δv,assume,2,6,151,0.4995
splitting,exit,5,18,199,0.4994
inhaler,inhale,3,34,49,0.4994
flood,reactivate,4,285,9,0.4994
user,task,6,786,6,0.4993
advance,collate,2,454,2,0.4993
mat,pave,2,101,9,0.4992
hyttsand,illustrate,3,5,334,0.4992
otbn,embed,4,7,367,0.4992
broadcast,recognize,2,7,130,0.4991
exploration,intersect,2,26,35,0.4991
club,release,3,3,557,0.4991
sideband,release,3,3,557,0.4991
alignment,slide,7,31,192,0.4991
ovate,release,3,3,557,0.4991
permission,regard,2,5,182,0.4991
cloth,vacuum,4,198,13,0.499
foundation,differ,9,101,86,0.499
wellshaft,characterise,3,6,279,0.4989
response,interrogate,2,456,2,0.4989
ethylene,chlorinate,2,24,38,0.4989
lookup,update,2,8,114,0.4989
gallon,track,2,38,24,0.4989
mound,characterise,3,6,279,0.4989
halogen,halogenate,2,57,16,0.4989
cone,bolt,7,142,42,0.4989
spill,malfunction,2,24,38,0.4989
storm,realise,2,456,2,0.4989
arrival,propagate,12,74,181,0.4988
pyramid,project,3,13,129,0.4988
georeferencing,acquire,3,4,419,0.4988
cyclone,quench,5,190,19,0.4986
supernatent,space,2,3,305,0.4986
derivative,substitute,3,42,40,0.4986
revolving,space,2,3,305,0.4986
lampshade,space,2,3,305,0.4986
mud,rattle,2,229,4,0.4985
development,eutrophicate,2,229,4,0.4985
aquifer,infiltrate,9,118,74,0.4984
styrene,derive,6,15,317,0.4984
topography,curve,3,33,51,0.4984
μm,crosslinke,3,99,17,0.4984
pulp,ferment,2,17,54,0.4983
reject,discuss,2,18,51,0.4983
tandem,specify,2,3,306,0.4983
transmission,transmit,154,479,1286,0.4982
incline,characterise,5,13,279,0.4982
other,analyse,2,23,40,0.4981
disaggregation,mitigate,2,10,92,0.4981
batch,oxidise,2,230,4,0.4981
signature,represent,13,58,262,0.4981
signaling,house,2,8,115,0.4981
decanter,evacuate,4,53,49,0.4981
consumption,disaggregate,5,727,5,0.498
deionizer,degas,3,13,130,0.498
homogenization,actuate,3,13,130,0.498
abc,bury,20,24,1209,0.4979
loess,calcine,3,36,47,0.4979
eductor,powder,2,13,71,0.4978
degradation,deaminate,2,462,2,0.4977
degradation,dehalogenate,2,462,2,0.4977
background,label,2,66,14,0.4977
degradation,unillustrate,2,462,2,0.4977
report,shrink,3,53,32,0.4977
retrieval,degrade,2,11,84,0.4977
vibration,damp,12,644,21,0.4977
exclusion,state,2,42,22,0.4977
degradation,desulfonate,2,462,2,0.4977
forming,line,2,14,66,0.4977
pre,segment,2,154,6,0.4977
mmvf,dissipate,2,21,44,0.4977
rhombus,recess,2,11,84,0.4977
surge,back,3,106,16,0.4977
obtaining,function,2,4,231,0.4977
liquor,attain,3,113,15,0.4977
lysis,adopt,2,5,185,0.4976
coping,notify,2,5,185,0.4976
coloration,irradiate,2,5,185,0.4976
multiprocessor,hold,2,2,463,0.4975
illumination,photograph,3,25,68,0.4975
uv,irradiate,23,194,185,0.4975
minicomputer,hold,2,2,463,0.4975
mainframe,hold,2,2,463,0.4975
dolomite,mold,3,9,189,0.4974
debris,plug,5,174,21,0.4974
electromagnet,slip,3,63,27,0.4974
perforation,delimit,2,58,16,0.4973
salinometer,concentrate,4,5,524,0.4973
steelworks,load,2,4,232,0.4973
reversal,reverse,9,51,173,0.4973
demineralization,deionize,2,32,29,0.4973
capacitor,smooth,4,46,57,0.4972
tension,tighten,11,137,87,0.4972
scaling,believe,3,71,24,0.4972
chromaticity,inactivate,2,62,15,0.4971
model,predict,157,695,919,0.4971
judging,quantify,2,15,62,0.4971
molding,pelletize,2,133,7,0.497
silt,incur,2,49,19,0.497
rotor,moisten,2,133,7,0.497
cloud,compute,3,57,30,0.4969
activation,electrolysi,2,233,4,0.4969
support,support,252,1419,915,0.4969
irn,stir,3,3,570,0.4969
prediction,regress,9,805,11,0.4969
beast,protect,2,3,311,0.4968
ionizer,ionize,13,61,252,0.4968
health,inspect,11,99,121,0.4967
precision,conceive,2,85,11,0.4966
inundation,recalculate,3,143,12,0.4966
proposal,flood,5,31,119,0.4965
accumulator,bulge,2,78,12,0.4965
diving,sense,7,8,763,0.4965
arcuate,travel,2,9,104,0.4965
silvering,conduct,2,4,234,0.4965
monitor,log,2,117,8,0.4965
fire,park,2,234,4,0.4965
bandgap,absorb,2,2,468,0.4965
ban,leave,2,3,312,0.4965
magnesia,neutralize,2,4,234,0.4965
steering,travel,2,9,104,0.4965
meltwater,contact,2,2,468,0.4965
ice,skim,2,156,6,0.4965
stopwatch,conduct,2,4,234,0.4965
aspirator,work,4,10,264,0.4965
mess,conduct,2,4,234,0.4965
altitude,cop,2,67,14,0.4963
denitrification,denitrify,41,870,99,0.4962
waterpipe,secure,2,2,470,0.4961
compartment,sonicate,2,188,5,0.4961
compartment,detour,2,188,5,0.4961
tractor,run,4,13,204,0.4961
extrudate,desire,4,6,442,0.4961
ballasting,denote,2,10,94,0.4961
feeding,pipe,2,157,6,0.4959
recycling,dialyze,2,157,6,0.4959
feeding,repressurise,2,157,6,0.4959
fourier,subject,4,8,332,0.4959
winch,slip,3,64,27,0.4959
strontium,contribute,2,6,157,0.4959
melt,extrude,3,27,64,0.4959
occlusion,delay,3,18,96,0.4959
id,estimate,4,4,665,0.4958
gasket,appreciate,9,126,71,0.4958
future,predict,33,68,919,0.4958
obtaining,estimate,4,4,665,0.4958
pickle,regenerate,3,5,346,0.4958
thousand,roll,3,19,91,0.4958
slider,hinge,2,16,59,0.4957
forest,extinguish,5,59,63,0.4957
map,skip,2,236,4,0.4957
forest,conform,2,59,16,0.4957
crack,corrosion,2,315,3,0.4956
inhibitor,dose,3,289,6,0.4956
dye,inactivate,2,63,15,0.4956
inhabitant,lose,2,5,189,0.4956
epdm,mold,2,5,189,0.4956
transform,execute,4,13,205,0.4956
set,score,2,315,3,0.4956
tourism,mold,2,5,189,0.4956
adjuster,degrease,2,86,11,0.4955
evaluation,evaluate,20,190,156,0.4954
sulfite,administer,3,28,62,0.4954
mole,link,3,14,124,0.4954
utilization,supervise,2,158,6,0.4953
fairness,construct,2,2,474,0.4953
skimming,accompany,2,6,158,0.4953
reasoning,construct,2,2,474,0.4953
sweeper,prepare,2,3,316,0.4953
chaos,construct,2,2,474,0.4953
mesh,subcoole,2,474,2,0.4953
droop,illustrate,4,8,334,0.4953
cold,freeze,6,13,377,0.4953
survey,suspect,2,79,12,0.4953
ethylenediaminetetraacetic,prepare,2,3,316,0.4953
adobo,construct,2,2,474,0.4953
understanding,accompany,2,6,158,0.4953
scattering,roll,5,41,91,0.4953
usage,distribute,78,376,604,0.4952
coagulation,acclimatize,3,435,4,0.4952
accommodation,vortexe,3,87,20,0.4952
separator,slurrie,3,580,3,0.4952
handpiece,electrolyze,4,6,446,0.4952
relaxation,tighten,3,20,87,0.4952
slot,predefine,3,87,20,0.4952
dough,dry,2,2,475,0.4951
chlorination,chlorinate,2,25,38,0.4951
transistor,energize,2,19,50,0.4951
mudflat,dry,2,2,475,0.4951
swirl,damp,3,83,21,0.4951
organochlorine,contaminate,3,3,581,0.4951
electrodialyzer,dry,2,2,475,0.4951
autoclave,leach,2,19,50,0.4951
naturalization,dry,2,2,475,0.4951
flashing,dry,2,2,475,0.4951
chalk,contaminate,3,3,581,0.4951
metabolism,cleanse,2,50,19,0.4951
funnel,bolt,6,117,42,0.495
image,filtrate,2,317,3,0.495
wool,absorb,5,8,468,0.495
underground,conduct,6,21,234,0.495
fish,die,6,273,18,0.495
interrogator,derive,2,3,317,0.495
relaxation,excavate,4,20,134,0.495
recurrence,repair,2,3,317,0.495
creation,create,32,84,715,0.495
chemolithoautotrophy,derive,2,3,317,0.495
humic,derive,2,3,317,0.495
rank,conduct,5,16,234,0.495
st,resume,2,28,34,0.4949
sulfur,pack,15,121,160,0.4949
vapor,evaporate,68,387,479,0.4949
lookup,judge,2,8,119,0.4949
lowland,flood,2,8,119,0.4949
optimization,optimize,6,40,123,0.4949
faucet,dedicate,4,179,15,0.4949
picture,photograph,2,14,68,0.4949
acidity,acidify,2,56,17,0.4949
rinse,expel,4,96,28,0.4948
concavity,turn,2,2,477,0.4947
vice,turn,2,2,477,0.4947
alumina,polish,2,53,18,0.4947
existence,stick,3,25,70,0.4947
fi,capture,3,10,175,0.4947
lily,turn,2,2,477,0.4947
airflow,intersect,3,50,35,0.4947
runoff,slop,5,188,20,0.4945
bioga,hydrolyze,2,33,29,0.4944
shrink,tighten,2,11,87,0.4944
escherichia,kill,2,11,87,0.4944
needle,diverge,3,117,15,0.4944
microbe,alter,2,29,33,0.4944
ecosystem,harmonize,2,137,7,0.4943
rubber,braze,2,479,2,0.4943
interconnectability,ensure,2,2,479,0.4943
electrodialyzer,evaporate,2,2,479,0.4943
spalling,ensure,2,2,479,0.4943
sandbox,evaporate,2,2,479,0.4943
resistor,energize,4,54,50,0.4943
glasshouse,evaporate,2,2,479,0.4943
baffle,bound,2,160,6,0.4942
yoke,slide,2,5,192,0.4942
charge,supervise,2,160,6,0.4942
myelin,grow,2,4,240,0.4942
shutoff,supervise,2,160,6,0.4942
electrofusion,size,2,30,32,0.4942
trip,designate,2,12,80,0.4942
switching,gate,2,480,2,0.4942
habitat,deepen,2,48,20,0.4942
clarifier,practice,2,120,8,0.4942
age,allocate,2,48,20,0.4942
living,conform,2,60,16,0.4942
harmony,grow,2,4,240,0.4942
ram,compute,2,32,30,0.4942
cord,interconnect,3,22,80,0.4941
